key	value
schema_version	1
run_label	clean
tested_commit	2708393e78b4eb0917281cf7d3dbc02180de77ce
timestamp_utc	2026-07-24T22:10:32Z
compose_project_name	jobseeker_m03_clean_standalone
image_digest	sha256:d1ac301cf6275650664c316a9b89f80b04fe9858f2f252ef01d6e6d13521c691
result	PASS
